building_id,water_usage_liters,waste_produced_kg,recycled_waste_kg,occupancy_level,temperature_c,humidity_%,cloud_cover_%,wind_speed_kmph,dew_point_c,precipitation_mm,beam_irradiance_wm2,diffuse_irradiance_wm2,reflected_irradiance_wm2,is_peak_hour,day_type,solar_generation_kwh,energy_consumption_kwh,total_energy_saved_kwh,building
B1,727.4831377646261,8.499684418044072,4.957343047576226,0.77,3.5049275847725205,27.955588291817836,67.67665412396406,24.022153230624347,-4.130593698069721,5.348280782401147,250.27545344247045,391.6543515438486,40.01356375925393,1,Weekday,32.1,323.03,31.26,green_smart_campus_dataset
B3,916.0941925652292,15.395464200460276,7.452162293775128,0.69,9.973446147869582,69.33490054134089,43.06735714824551,10.123644519971538,11.934940158487567,9.43607821823655,346.63860273393664,262.524410944778,61.53023550236692,0,Weekend,30.46,366.55,24.48,green_smart_campus_dataset
B2,709.3357457337659,18.71471037636721,10.398261929899917,0.85,5.883366303119107,79.55641705772143,11.468124237867016,0.6322852247408278,17.029646452011445,0.7881463914403419,315.0698802297368,100.7514267196148,36.95095956351739,1,Weekend,20.79,320.72,15.09,green_smart_campus_dataset
B1,691.1468678080494,15.068487118670769,3.2705672137102835,0.82,-1.4674911512568878,86.80650201546251,71.42634628218487,15.072408486160176,-0.4925604239539076,5.142768245420744,548.8671516069744,182.88702276689372,80.53818293901263,1,Weekday,36.59,327.72,30.73,green_smart_campus_dataset
B2,253.32163244855195,17.990291895075188,7.810193419986243,0.74,28.205556091066143,34.76785027981896,21.77626185490178,7.242400514969296,15.926383045218774,7.664552459976987,362.35461155911656,53.31917427393131,38.11495064457839,1,Weekend,20.78,174.57,15.02,green_smart_campus_dataset
B2,614.7264175561633,29.91315771996548,11.339546552662709,0.99,29.12445556628145,55.275030540697095,17.662342602459148,10.823678029885055,17.246689019068288,6.001526480736147,564.4550549677256,260.9540733442634,58.14947300465982,1,Weekday,41.27,300.79,29.94,green_smart_campus_dataset
B2,320.1352006536333,8.380432842821367,13.135972982378924,0.67,3.7900120066751786,67.63883933511373,35.83229285893832,12.21173705624838,19.09157846057557,0.2319414042684275,702.36408245211,337.5489753408294,12.085847532731057,1,Weekday,52.0,199.59,44.03,green_smart_campus_dataset
B2,789.9470149771885,21.88640113341064,9.767629845273971,0.38,-2.40911201899193,37.32274106509362,65.32902447594834,1.6128152684508457,0.9509019408576478,9.723386783438809,799.5689071419321,270.479027623065,81.25577050225534,1,Weekday,53.5,341.2,45.62,green_smart_campus_dataset
B1,609.7775366501396,14.90002415964038,10.36674921443727,0.88,24.55309749404718,62.03310042751918,23.39964787906278,12.14954461410257,13.85623065589082,2.982636930758984,739.1420031405078,325.1301802142074,65.83039973397784,1,Weekday,53.21,300.11,46.51,green_smart_campus_dataset
B1,744.1822233666826,8.325244972683219,2.7679686161839654,0.48,3.461145034536548,38.03051477485995,18.366153878188573,10.657991670107869,0.6488649193416727,2.4927786636638203,285.03164481072486,329.9663745465604,27.30133602936061,0,Weekend,30.75,347.22,27.58,green_smart_campus_dataset
B2,233.33832048190743,8.968419084357738,14.24087096144886,0.84,10.737419577474409,43.34199143721531,0.9953625713364334,17.81360663216483,15.866413562445938,4.856598756065795,204.3097473184784,347.85440167611233,29.383603848192266,1,Weekday,27.61,174.55,24.86,green_smart_campus_dataset
B2,267.8336128366426,28.73182765614042,2.856037084782753,0.97,-2.4345899105046698,50.90630875576056,47.16430971017236,16.141647780308617,6.204078280099928,5.421581075233489,588.2051431911259,143.33232404914398,33.624362665433985,0,Weekday,36.58,192.52,30.36,green_smart_campus_dataset
B1,773.0587104501458,26.99003741779405,11.845421120545176,0.79,4.050783390337408,57.04330691225969,42.86455693151827,4.630392953764026,10.914053108452698,7.662881375898253,279.0206120873306,354.94398298714765,61.88770941360057,1,Weekend,31.7,342.54,28.31,green_smart_campus_dataset
B1,257.66746879893867,27.676049010375547,4.707428504896464,0.72,26.71609113318543,51.45561101376055,23.38677436373763,5.153472955259924,4.554399350069911,3.932736576589892,176.44034959436192,278.9328994622218,59.34846997837207,1,Weekday,22.77,184.82,18.02,green_smart_campus_dataset
B1,257.0053822122069,29.788319395684663,14.07030401181752,0.62,27.17585787660808,54.523686385155045,5.365216400969075,6.275154469359332,-4.33059755745615,4.399603764622122,574.3849086814755,151.40394480807043,34.64773476777005,0,Weekday,36.29,189.56,30.21,green_smart_campus_dataset
B3,209.68678018791,10.207884750212948,11.079433551172713,0.56,3.283392995508416,40.901212940180486,42.92558745958369,4.473761007429433,-3.768966463812272,5.349599159338309,394.1147665970159,395.5531502486914,72.46560627793033,0,Weekend,39.48,157.11,32.29,green_smart_campus_dataset
B3,965.201118639584,13.885983434101544,11.553391981697166,0.55,8.436553804267582,31.12755658158414,78.82051110716313,16.43032999171168,-7.285088245825293,3.943870997416407,780.5341107446534,382.56383780608417,90.0137049340358,1,Weekday,58.15,390.35,46.45,green_smart_campus_dataset
B3,790.0066875672055,21.730475748121663,4.066828422838366,0.75,0.3695367637497426,23.31449841287876,71.5282131327177,24.860754480006765,11.63254379025816,9.14548079101156,382.7724674935762,251.05434412223977,13.916392988818462,0,Weekend,31.69,345.34,24.45,green_smart_campus_dataset
B2,482.6011268016513,17.095063496516183,7.202559672892251,0.83,-2.0330947886031048,33.71851057441674,86.07948898601703,16.302708512898416,19.702343928357077,8.512519666342522,980.8454233502324,345.12293243984726,47.54769740404133,1,Weekend,66.3,274.98,47.97,green_smart_campus_dataset
B3,437.2284650301242,15.459738334458338,9.649384724250009,0.77,34.68686857793638,60.736054905404814,0.9582687713155624,15.16703865478228,-9.270711080827168,4.549736950778783,782.6708721346373,141.52307105195507,63.41681066903289,0,Weekday,46.21,240.78,39.36,green_smart_campus_dataset
B2,479.7625837966796,13.945281233389826,11.779630654892411,0.44,21.223758049793567,75.02808134621927,96.64193168045983,10.248198333776813,-7.681617426907628,0.0019486233731713,151.92389933997592,195.6129488138115,62.77916831832994,0,Weekend,17.38,231.0,14.97,green_smart_campus_dataset
B2,819.7228249449455,19.844515798586308,2.455431262773454,0.65,16.683860367932752,31.84733182100262,34.14122526274483,7.814506471494018,6.011344730601863,9.009344955292809,557.9854663206486,114.3901162603418,11.758181229055968,0,Weekday,33.62,342.18,26.92,green_smart_campus_dataset
B3,729.0964888563315,19.38983571600205,14.473114430363395,0.85,25.61994001621198,27.598875044085396,99.03977960919649,22.77684392266198,15.820225765886626,1.2433657343946525,606.3584510926993,232.0359249202368,28.95094592637445,0,Weekend,41.92,331.49,41.62,green_smart_campus_dataset
B2,348.1564542939743,9.036445851606002,13.463089387763784,0.63,28.603086387508966,72.45032523844752,25.261946060177465,24.225046853553824,-4.480232435081704,2.445124151940462,725.7724396134379,223.60050052508285,15.564764918090937,0,Weekend,47.47,221.98,41.16,green_smart_campus_dataset
B3,339.2874682672675,16.793495937960977,4.784880266938181,0.68,27.268590721789103,41.36108313761028,47.15363875782448,12.419404389693195,-0.4922038157782147,1.523612843653982,548.0171173303825,124.48462908654824,61.20685652949407,1,Weekday,33.63,216.11,32.51,green_smart_campus_dataset
B3,278.71651977071787,18.836794405246245,12.518643402452648,0.84,-4.338422028404936,86.60496074591467,35.392767657530364,7.255012387663936,-1.8797829551367489,1.7981556998102377,535.0992385731158,285.48059280063416,68.08508989025205,0,Weekday,41.03,182.24,35.74,green_smart_campus_dataset
B1,728.2421757610705,19.25717346828476,8.256534922557528,0.76,2.472315927619939,70.00225794272612,35.57607149943026,19.253055191744192,3.966792653490394,8.028775378898347,431.1447505098515,91.22660343389438,24.376794708112985,0,Weekend,26.12,338.61,19.77,green_smart_campus_dataset
B3,811.4981297773887,10.252679822808794,7.465290741868261,0.59,21.19621208471324,42.87292330701216,84.22820987482157,3.3114197716719613,-2.12504630438501,5.795014416659242,344.3152455092564,71.59200787439892,39.971000740786536,0,Weekday,20.8,344.59,20.64,green_smart_campus_dataset
B1,412.0371426600032,23.55678480630717,5.402077481359676,0.93,10.030373912158517,40.26799234555935,74.64189397373387,19.13970594109204,2.3409537490663563,9.560951631253484,951.580190779061,184.71673903183515,39.68233690384189,1,Weekday,56.81,231.7,54.86,green_smart_campus_dataset
B3,216.75596882473025,5.629977370526741,9.133560212842294,0.41,34.29930604244428,56.65888703899164,99.2151435230048,20.473709357783463,15.498990953168049,2.3145351232371647,385.83700267093474,193.43867222464672,83.78220984308051,1,Weekday,28.96,167.61,24.37,green_smart_campus_dataset
B3,265.7373339811419,13.870796388579066,11.218447647850368,1.0,21.616191705530163,25.54012677947466,61.35146827175125,3.122598615679184,11.38532369589662,4.85634908131234,157.0791921222976,161.90921228427015,27.519346407622,0,Weekend,15.95,171.69,12.33,green_smart_campus_dataset
B1,974.2880278760244,24.50531621339084,6.753060669478615,0.38,33.26195634916826,28.237355885170928,46.32566043945027,24.42153671991409,-7.158640311290749,9.7742836908247,250.55626536407104,140.28132315238764,59.34827091930927,1,Weekday,19.54,430.86,14.98,green_smart_campus_dataset
B1,436.3558219819362,19.09732302638506,9.80906870211609,0.31,3.057859265831752,32.31005169213348,9.007386294689113,24.63780725971196,12.321098318600122,8.264435142747697,871.5489724371607,168.57172075333563,80.4641961250796,1,Weekend,52.01,256.51,48.98,green_smart_campus_dataset
B3,815.3785182705069,11.529060812771506,10.790380896174252,0.92,29.558281124600924,74.23065153131921,99.65614195138568,23.41798698318378,6.6977010045724725,7.2861567912049106,627.9701132110456,107.18145088323604,84.6620373607343,1,Weekend,36.76,351.17,26.49,green_smart_campus_dataset
B2,699.730855083411,22.37382798357619,10.955705438214002,0.47,7.854092232609013,55.97001514883857,55.15306529322829,12.400870235156608,22.70979511474986,1.8897520137079196,800.9024944393591,191.20836419650703,69.99094848562598,0,Weekend,49.61,329.19,44.22,green_smart_campus_dataset
B1,505.5517117223167,19.184773603901835,1.7275253738365235,0.81,34.58259232951227,20.739698594211006,70.04774696901418,6.151853556920711,0.1256510986418639,7.694054009097161,827.9033915257249,366.61118073110526,36.95749770356946,0,Weekday,59.73,259.32,53.28,green_smart_campus_dataset
B2,364.5498097564441,24.90609023640968,13.036469279590936,0.87,1.3075468829258918,67.14615692304763,40.67423871913114,14.550232022047824,15.415824689470597,3.4756512259591776,840.912795289966,128.54940842309338,84.07419173459706,1,Weekday,48.47,228.39,36.58,green_smart_campus_dataset
B2,297.1091345275252,23.375629654745584,7.415546406710671,0.9,15.65359275353306,49.65831250623479,54.77157081792359,10.498345961785894,15.580128806559948,5.305368970467576,595.5523369701478,289.55788652262265,76.7949424390114,1,Weekday,44.26,195.67,40.34,green_smart_campus_dataset
B2,692.0103744310933,20.252698050905867,4.673825143747003,0.99,26.71378135348488,55.75966554746586,94.25777318928871,5.148716117929928,-2.247472664678442,6.091612130395402,259.40853612919443,99.62457863924377,73.40222204463423,0,Weekday,17.95,306.08,16.36,green_smart_campus_dataset
B1,819.7070245102304,17.20444188277035,4.384703104715542,0.51,12.305699224161437,34.98813703890549,16.641943793160273,10.59191024044619,21.612826873982765,6.09363711524254,233.4094770125276,173.86731840358078,16.060185899650644,0,Weekday,20.36,347.42,16.39,green_smart_campus_dataset
B2,715.1234028329045,8.329553141688084,7.762197579815306,0.8,13.723362407505869,58.62475598758726,29.23725843302546,16.597245891939764,7.191412015036107,7.265234719135164,616.5859783376012,162.4111731908397,13.89383925863946,1,Weekday,38.95,308.2,32.91,green_smart_campus_dataset
B1,624.2417065993267,11.533325447134594,13.415641552565427,0.38,34.454231820229644,88.5407267826042,15.205972777803234,1.7728327696497763,13.760917841125584,6.617020926422056,429.8629183171088,377.9602880429147,72.58287679314216,0,Weekend,40.39,282.58,38.36,green_smart_campus_dataset
B2,233.560978745309,15.477486822927132,6.296866143557057,0.58,12.012326012046133,25.1411283704033,79.22159038047747,8.335450036150412,-4.895055439077341,0.6837087931058983,602.2434171211905,199.79371953063315,95.03153211105376,1,Weekend,40.1,182.41,34.36,green_smart_campus_dataset
B3,974.791022075507,19.98248217515972,11.496160454969608,0.89,19.162884023962544,39.87421797651015,6.204526042182956,0.4448722503206298,-0.9768629052810756,4.5734702594910726,548.6300598140783,291.66308032348434,79.63515352567174,0,Weekday,42.01,409.02,37.2,green_smart_campus_dataset
B3,838.9713533236596,17.84269638038262,2.3554622338210605,0.56,-2.818413572993972,37.00983150025809,8.16316498513383,18.73738763654189,10.513749127802797,6.640216067199792,641.9782717277936,260.8619831399652,84.83280098443197,0,Weekend,45.14,348.47,37.19,green_smart_campus_dataset
B1,434.25762936077183,12.204613148988235,7.664793830114865,0.71,28.6884032084104,37.398451752582574,29.84941127873687,16.01728169041752,1.1659543930672314,2.959929821657287,128.9006116629088,99.36052634966649,59.048405276481134,0,Weekend,11.41,240.51,8.5,green_smart_campus_dataset
B3,983.9762634870804,5.161608944742763,14.8836059654983,0.65,20.92672195918174,46.50944502957641,51.41881809210113,1.5668033675491466,7.489252149984068,3.1305668721638966,129.553012567111,378.8391578607164,37.41275296792665,0,Weekend,25.42,376.79,25.41,green_smart_campus_dataset
B3,681.5052717090578,17.40598054752035,11.786129239092718,0.75,11.16080411451254,77.26768493209173,40.62748005595866,24.1184389900492,3.0901819780651234,1.2456754775461554,749.4356537636579,171.05425214951714,70.99632070901959,1,Weekday,46.02,329.31,39.55,green_smart_campus_dataset
B2,665.9381265657971,12.140649714056078,3.9473988381685823,0.98,-4.35321840181921,83.90010829750712,4.481631067080727,0.5655389281775169,12.41938288254168,4.186149859748554,273.81451944044784,65.6654245242774,74.07737879434234,0,Weekend,16.97,295.9,13.59,green_smart_campus_dataset
B1,798.4585435436256,23.365207517763377,8.02018063177075,0.34,18.666752823740158,34.15505612212813,95.74915578709516,14.749016161902215,7.050087697328312,9.868304343061746,686.9786159728507,155.15529739546568,70.78221745246063,0,Weekend,42.11,341.61,38.49,green_smart_campus_dataset
B2,849.4158304721101,5.598656631762087,4.270746691079932,0.7,-4.493686860633512,58.00649565636789,95.28695203580835,19.4091865449764,-9.838652240939114,2.8531936128803737,591.9183197123091,167.47180405881414,95.20381510473884,0,Weekend,37.97,362.61,33.65,green_smart_campus_dataset
B2,725.1828858652021,19.62069528264477,6.733852981675129,0.9,-4.951855443639284,64.58292805158362,27.93563232407599,19.697407826118077,12.73882932808844,5.314368926860981,983.6150242641612,82.46086458255452,43.04611299381008,0,Weekday,53.3,324.4,41.03,green_smart_campus_dataset
B2,302.47659709296,28.536855937651637,11.921176332289509,0.64,19.643942485974183,56.52792320546914,73.15256152685815,0.8571283898300947,4.77425449675636,7.432372527790844,851.865290994756,266.99209223298,13.569178506020515,0,Weekend,55.94,191.89,53.87,green_smart_campus_dataset
B2,470.6140047955987,9.360231677787487,11.797147414065652,0.35,2.5606826933821702,50.38534759378437,57.857541138322375,22.66037831601098,1.9594419171578004,0.1349727088427066,471.8210691982145,171.3674719395409,91.75999174816684,1,Weekday,32.16,240.39,23.2,green_smart_campus_dataset
B2,942.4669122608398,16.791237268764885,4.193405290633391,0.69,2.675501988723812,33.43828541014665,23.74766950056241,22.961291798178056,-6.704863670087176,9.00439559598299,654.7715380838486,270.1971122158398,24.44492069686732,1,Weekday,46.25,387.16,40.78,green_smart_campus_dataset
B2,379.6924894750815,7.285549795428454,13.91112645416804,0.53,21.130862633309743,54.175355143946696,26.217155174161544,14.034759328859318,-2.2870608301727984,3.8655018472493854,205.5605115029248,52.35919725617351,72.75865054486891,0,Weekday,12.9,225.47,10.88,green_smart_campus_dataset
B2,497.73361907001066,20.642047806533817,9.295954558707574,0.41,-2.852112482425029,48.08503793979303,49.11531743104505,12.052079972178651,-2.16796979467013,8.691159867109823,447.7474386661429,393.71693964676336,88.58839957954159,1,Weekday,42.07,255.54,33.46,green_smart_campus_dataset
B1,545.6615063553568,18.76329201490564,6.318940073468204,0.89,7.536222458982253,75.68943537515888,41.923694149736015,1.1216865765649953,22.737932479165515,0.3894765889947804,760.4989669808868,109.68072549063857,37.91272582131717,0,Weekend,43.51,266.74,41.24,green_smart_campus_dataset
B3,551.5239917555617,15.184138105320809,8.02709813093205,0.67,0.9772760856807629,73.45230514140965,29.122932823126423,14.048853562746716,5.137954116129139,1.4566355186367586,660.4044257157883,280.7658453467277,84.73737167694338,1,Weekend,47.06,263.84,42.21,green_smart_campus_dataset
B2,690.3516659956204,18.03442553684353,9.470997548128413,0.95,18.207054791861356,29.379907684396947,80.75115963051489,10.234477044255769,-8.527695347469049,3.225294544775592,536.0241919396221,300.5245061478304,39.88523136442997,0,Weekend,41.83,319.53,38.81,green_smart_campus_dataset
B2,954.460670195766,27.41436646172525,8.838467445840996,0.86,21.470606189095832,26.19633367941473,48.14629176373849,19.3201601852164,-5.141416121483769,3.4546177306327874,258.87619364740215,110.06292241161664,81.48321354126247,0,Weekend,18.45,376.37,15.21,green_smart_campus_dataset
B2,392.554169466004,9.907357557776676,7.809670497506495,0.79,23.84543414396174,83.5707760259252,65.48480623891278,10.097089172152195,-7.233856349348078,8.477942230280165,822.8313335417902,89.0992987358465,16.284687667635318,1,Weekend,45.6,239.68,44.81,green_smart_campus_dataset
B2,297.20110104073444,5.564112792633681,8.069059257251602,0.3,5.209248676742618,57.48558722751484,18.927350016787543,17.089520833117746,10.610428657252395,0.112011153882352,345.8499439704192,103.40201714568305,68.9718698803835,0,Weekend,22.46,179.77,18.04,green_smart_campus_dataset
B2,357.97639188794983,26.541622117477523,3.4697667459904062,0.6,-1.4300099345366402,80.04606560978135,53.35076625164867,2.53520365593827,-3.468247795161065,6.411117764696796,838.4311734957186,136.3863895457306,70.94242725209165,0,Weekend,48.74,220.61,41.88,green_smart_campus_dataset
B2,909.5399201674156,19.427927059697662,12.37826066026551,0.44,-1.8526537223240869,24.07057843964808,31.79760494466215,3.323806769149173,7.44951740986216,1.3131243617855026,650.4481565154941,108.88124129751807,54.22832470728608,0,Weekend,37.97,375.26,37.21,green_smart_campus_dataset
B3,716.6486501241648,27.26646138654606,8.584644479174216,0.94,12.046061938028952,56.85609315651412,52.64136103948782,3.492754766228958,2.9521722004491444,8.232156507110494,435.4582851539087,285.89979943462856,71.83817774764397,0,Weekday,36.07,313.5,26.15,green_smart_campus_dataset
B3,428.7254313913281,19.923630585329317,2.8351180638658438,0.42,32.8337763625086,57.75985602033654,78.08258334109281,1.138137494993588,18.135673200046977,7.785732659579123,136.54469976399236,197.29162130412357,93.08653034984567,0,Weekday,16.69,245.08,12.23,green_smart_campus_dataset
B2,852.7575511748938,25.25402724899256,11.726199422158892,0.5,3.709161369880984,80.2491422779505,76.89132100912617,13.533221481745096,1.2171373042876803,4.999210274112006,309.1769599099392,238.22705808037708,76.04693424714051,1,Weekend,27.37,367.45,27.32,green_smart_campus_dataset
B3,889.0959970907488,15.7418340838787,14.054215697282912,0.66,5.269664053661973,26.832699876079523,35.422067803427595,19.849193151090898,6.039291883888289,2.126872255123752,900.1638329393476,66.56787608320539,96.51664260861938,1,Weekday,48.34,376.15,47.93,green_smart_campus_dataset
B1,877.2114709522224,23.74649828220672,14.262296589317469,0.48,-0.9644479157656428,36.831189457313656,69.42771170796391,15.260280092341652,15.244994200923902,6.344953909655563,836.1769095061456,351.43713708525314,50.37510824668646,1,Weekday,59.38,384.7,55.31,green_smart_campus_dataset
B2,935.1412269116436,27.8260366722464,6.166248253756418,0.45,19.22281095575721,48.45768197209092,94.12899503942768,14.373872138821406,5.167292242572376,1.5625831765764564,617.3679816406881,109.70004362216729,57.54616585335614,1,Weekday,36.35,377.03,30.73,green_smart_campus_dataset
B1,401.79281613868926,19.30307409305516,2.8972362298505567,0.72,22.194914957886997,80.60890327939595,62.56693299249064,17.01559821006841,17.762543760461618,1.9002379259265345,519.6902175659143,176.05331600928088,33.73648275139361,0,Weekend,34.79,197.76,29.63,green_smart_campus_dataset
B1,804.0335429970227,9.519628764059489,8.257594772862912,0.36,20.7172483264304,85.7218320549397,14.841012338263717,8.49113307680037,13.158952468283273,6.266899022253577,682.4284113970982,75.16557393971844,98.70415010207816,0,Weekday,37.88,353.55,29.44,green_smart_campus_dataset
B2,568.431597819312,11.719940375754955,2.5765292108890896,0.34,29.44520972179125,89.49072337155395,67.97086292790951,9.048851791205722,4.36851898813506,9.912284460886244,519.6233150589713,97.87759712691538,14.962306164514514,1,Weekday,30.88,272.39,25.62,green_smart_campus_dataset
B3,873.5988423120492,9.966114422435144,14.07582385917664,0.56,14.457033401042873,87.1435440520965,10.490438634931133,7.856752455523064,7.639367399022696,8.910608372525463,679.8743566472263,283.02979349148154,42.275837585512924,0,Weekend,48.15,372.8,39.94,green_smart_campus_dataset
B1,782.7925417292905,11.171425689893322,3.570114782972044,0.8,0.3782816306825776,20.415922909104808,87.21104087930271,17.80272332133939,23.85212095447677,5.931073576836771,376.6636896941421,292.4054507894911,36.79274482917516,1,Weekend,33.45,349.28,23.78,green_smart_campus_dataset
B2,821.1579571997797,12.66038623377591,4.538722039316297,0.69,6.576205228176505,23.339583901771043,51.66604958019403,4.041008391769357,13.156402377793732,5.385367687674237,854.6474961203277,286.93791961887325,44.78605418152499,0,Weekend,57.08,337.83,47.72,green_smart_campus_dataset
B1,724.9294701448572,18.878344668829712,6.692911376389586,0.6,21.497198936854076,30.332477341031208,38.51407363115796,0.3256320078231095,21.67483290903137,9.983848800081086,731.72610411874,243.24787574610767,92.5946074467879,0,Weekday,48.75,325.48,41.14,green_smart_campus_dataset
B1,341.94301557576546,19.69979073659582,6.364302559827761,0.7,19.524878949662394,44.42034677391912,5.700659464969238,14.90491116806231,-3.743452378512747,5.473971476338937,396.9780655849226,383.3825824041673,43.123408666166334,1,Weekday,39.02,211.0,35.11,green_smart_campus_dataset
B1,636.0215351175507,15.662493681046527,12.125280493570449,0.56,16.240125189718498,78.0942621690871,38.078373459210965,23.55953411835513,6.913265468580317,4.201165219594439,847.5995033410971,227.51200626900172,92.52789874300004,1,Weekend,53.76,292.02,45.96,green_smart_campus_dataset
B1,987.7357916196064,20.385519495520885,7.388435487713473,0.96,22.31857674754749,82.48593367348363,90.32066679157894,15.235197924907617,21.80315844457677,9.095555357753414,538.608277767861,207.2942102537563,48.10049754968824,1,Weekend,37.3,399.49,35.75,green_smart_campus_dataset
B3,949.9104531976952,7.039373140284148,3.3907556400467165,0.34,20.495634014931973,33.07840844062081,2.098299628630318,19.57304132352238,1.2914221504496162,2.341842958692882,257.17497826371533,136.6409480010002,86.92918922981875,1,Weekend,19.69,378.32,15.95,green_smart_campus_dataset
B1,234.53898863760932,7.194705926453999,4.740938536805038,0.77,30.252995578598068,63.37649061337961,47.464815778180494,16.819767736650753,23.86824693512473,0.9752599029680896,169.94121580317398,84.5973352433144,56.95750886506019,1,Weekend,12.73,186.73,10.48,green_smart_campus_dataset
B1,331.8518525835497,9.29573650894146,8.127587392625308,0.92,18.440655099131863,84.21533895456936,93.11580911106223,12.435916338075408,-6.60228783342199,6.340900343618303,729.6451728734984,241.85422548816257,38.02175590854834,1,Weekend,48.57,203.88,42.33,green_smart_campus_dataset
B1,305.38301876364955,17.951937451008618,3.0643548439658885,0.86,26.14405434802226,52.461221515192456,39.48409997650211,17.95981004459615,21.59349095962629,0.95849633768749,878.6087237872096,160.21156534248985,50.44148190710985,1,Weekday,51.94,204.26,39.52,green_smart_campus_dataset
B3,780.7839279882364,10.34986696745784,9.563179459044196,0.43,4.948286238658714,27.24805003669488,42.81756874621504,20.602603096380545,5.582424272305055,3.731485369529601,826.6977897350893,233.4088841166803,48.19429710803831,0,Weekend,53.01,334.32,43.36,green_smart_campus_dataset
B1,854.2282638855561,12.082110087314431,8.920462291716042,0.51,22.12730338356272,52.04695550592375,57.85600551991199,5.6182911042924495,-7.418954220059376,4.235773855817206,690.0859271999367,122.1416773911679,33.39226558769958,1,Weekday,40.61,358.3,36.79,green_smart_campus_dataset
B1,370.80909304853753,15.007820904324852,11.005832429351608,0.8,31.087764735307022,46.30564316016401,46.293733357718345,8.403262012078638,20.78325574051306,5.475380670492331,227.23755004429125,343.360435272769,36.06748569927161,1,Weekend,28.53,208.46,23.5,green_smart_campus_dataset
B3,604.6821543614632,25.29665310025949,14.127864615311148,0.36,10.42929311599333,60.43605972462049,16.86016912375524,5.593143312582097,-1.1820925656810282,9.916595457479623,184.63966837898815,399.8940233806742,26.7808529179949,1,Weekday,29.23,318.02,28.41,green_smart_campus_dataset
